net_id,from_id,to_id,value
2005-06-30,AU,5A,297278
2005-06-30,AU,AT,1587
2005-06-30,AU,BE,5312
2005-06-30,AU,TW,2350
2005-06-30,AU,FR,25460
2005-06-30,AU,DE,27456
2005-06-30,AU,GR,21
2005-06-30,AU,IT,669
2005-06-30,AU,JP,23907
2005-06-30,AU,NL,51432
2005-06-30,AU,PT,101
2005-06-30,AU,ES,1614
2005-06-30,AU,SE,678
2005-06-30,AU,TR,9
2005-06-30,AU,GB,86839
2005-06-30,AU,US,34355
2005-06-30,AT,5A,233776
2005-06-30,AT,AU,541
2005-06-30,AT,BE,6652
2005-06-30,AT,CL,5
2005-06-30,AT,TW,256
2005-06-30,AT,FR,8767
2005-06-30,AT,DE,143723
2005-06-30,AT,GR,1284
2005-06-30,AT,IT,4775
2005-06-30,AT,JP,5534
2005-06-30,AT,NL,11005
2005-06-30,AT,PT,721
2005-06-30,AT,ES,2403
2005-06-30,AT,SE,1030
2005-06-30,AT,CH,11035
2005-06-30,AT,TR,486
2005-06-30,AT,GB,11020
2005-06-30,AT,US,8336
2005-06-30,BE,5A,357658
2005-06-30,BE,AU,1636
2005-06-30,BE,AT,1788
2005-06-30,BE,CL,9
2005-06-30,BE,TW,456
2005-06-30,BE,FR,65559
2005-06-30,BE,DE,56049
2005-06-30,BE,GR,1466
2005-06-30,BE,IT,4629
2005-06-30,BE,JP,12914
2005-06-30,BE,PT,2633
2005-06-30,BE,ES,9903
2005-06-30,BE,SE,2851
2005-06-30,BE,TR,439
2005-06-30,BE,GB,56179
2005-06-30,BE,US,21019
2005-06-30,CA,5A,220049
2005-06-30,CA,AU,1573
2005-06-30,CA,AT,751
2005-06-30,CA,BE,3226
2005-06-30,CA,CL,1
2005-06-30,CA,TW,918
2005-06-30,CA,FR,16226
2005-06-30,CA,DE,24670
2005-06-30,CA,GR,485
2005-06-30,CA,IT,564
2005-06-30,CA,JP,23391
2005-06-30,CA,NL,22682
2005-06-30,CA,PT,525
2005-06-30,CA,ES,1392
2005-06-30,CA,SE,947
2005-06-30,CA,CH,13023
2005-06-30,CA,TR,52
2005-06-30,CA,GB,63564
2005-06-30,CA,US,36776
2005-06-30,CL,5A,50052
2005-06-30,CL,AT,144
2005-06-30,CL,BE,121
2005-06-30,CL,TW,95
2005-06-30,CL,FR,1534
2005-06-30,CL,DE,2302
2005-06-30,CL,IT,484
2005-06-30,CL,JP,1149
2005-06-30,CL,PT,15
2005-06-30,CL,ES,27842
2005-06-30,CL,SE,9
2005-06-30,CL,GB,1726
2005-06-30,CL,US,8740
2005-06-30,FI,5A,136818
2005-06-30,FI,AU,192
2005-06-30,FI,AT,888
2005-06-30,FI,BE,2618
2005-06-30,FI,CL,6
2005-06-30,FI,TW,18
2005-06-30,FI,FR,4711
2005-06-30,FI,DE,15154
2005-06-30,FI,GR,13
2005-06-30,FI,IT,529
2005-06-30,FI,JP,3963
2005-06-30,FI,NL,5600
2005-06-30,FI,PT,64
2005-06-30,FI,ES,1437
2005-06-30,FI,SE,86914
2005-06-30,FI,TR,1
2005-06-30,FI,GB,5951
2005-06-30,FI,US,3201
2005-06-30,FR,5A,802403
2005-06-30,FR,AU,5061
2005-06-30,FR,AT,6379
2005-06-30,FR,BE,75660
2005-06-30,FR,CL,76
2005-06-30,FR,TW,3039
2005-06-30,FR,DE,190924
2005-06-30,FR,GR,1438
2005-06-30,FR,IT,22223
2005-06-30,FR,JP,78058
2005-06-30,FR,NL,92731
2005-06-30,FR,PT,9092
2005-06-30,FR,ES,35869
2005-06-30,FR,SE,4768
2005-06-30,FR,CH,64884
2005-06-30,FR,TR,394
2005-06-30,FR,GB,132403
2005-06-30,FR,US,40048
2005-06-30,DE,5A,1252651
2005-06-30,DE,AU,6515
2005-06-30,DE,AT,38136
2005-06-30,DE,BE,65069
2005-06-30,DE,CL,14
2005-06-30,DE,TW,3897
2005-06-30,DE,FR,126322
2005-06-30,DE,GR,1503
2005-06-30,DE,IT,38723
2005-06-30,DE,JP,103701
2005-06-30,DE,NL,204305
2005-06-30,DE,PT,6954
2005-06-30,DE,ES,38342
2005-06-30,DE,SE,79699
2005-06-30,DE,CH,95118
2005-06-30,DE,TR,2997
2005-06-30,DE,GB,153235
2005-06-30,DE,US,123929
2005-06-30,GR,5A,165407
2005-06-30,GR,AU,45
2005-06-30,GR,AT,4598
2005-06-30,GR,BE,11891
2005-06-30,GR,CL,6
2005-06-30,GR,TW,45
2005-06-30,GR,FR,15982
2005-06-30,GR,DE,37661
2005-06-30,GR,IT,5743
2005-06-30,GR,JP,3135
2005-06-30,GR,NL,15093
2005-06-30,GR,PT,2416
2005-06-30,GR,ES,814
